,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.13927043167738015,0.01083538657325743,0.08491985977722365,0.018853745772875102,-0.018714980299759813,0.002641101979183369
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.21634303230925298,0.1368072200662528,0.23132353496862654,-0.002108196982520723,-0.04207290646139083,-0.010205086372298078
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.1621872895502839,-0.0852056826909614,0.06274469613480636,0.8159558701948098,0.8160271780367825,0.8201247182098462
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.386674772397017,0.345836977881521,0.31612510487426504,0.13999134796647994,0.12237654259321425,0.12243834892785728
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.32526132145503933,0.37265817751503566,0.3318357498143867,0.12226222537849833,0.12226222537849833,0.12341225218981872
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.32526132145503933,0.37265817751503566,0.3318357498143867,0.12226222537849833,0.12226222537849833,0.12341225218981872
phot_KN,0.13927043167738015,0.21634303230925298,0.1621872895502839,0.386674772397017,0.32526132145503933,0.32526132145503933,1.0,0.08826445399408141,0.6412307332551284,0.4443529419549525,0.23841314811265527,0.35636890308664826
phot_KN-in-SN,0.01083538657325743,0.1368072200662528,-0.0852056826909614,0.345836977881521,0.37265817751503566,0.37265817751503566,0.08826445399408141,1.0,0.5441941095746509,-0.05990602150235319,0.15096688381766832,0.07151331012461655
phot_super-KN,0.08491985977722365,0.23132353496862654,0.06274469613480636,0.31612510487426504,0.3318357498143867,0.3318357498143867,0.6412307332551284,0.5441941095746509,1.0,0.22585672695671027,0.2251667698383569,0.3212494297045933
KN,0.018853745772875102,-0.002108196982520723,0.8159558701948098,0.13999134796647994,0.12226222537849833,0.12226222537849833,0.4443529419549525,-0.05990602150235319,0.22585672695671027,1.0,0.9148092669350929,0.9600127069245139
KN-in-SN,-0.018714980299759813,-0.04207290646139083,0.8160271780367825,0.12237654259321425,0.12226222537849833,0.12226222537849833,0.23841314811265527,0.15096688381766832,0.2251667698383569,0.9148092669350929,1.0,0.9659518514971929
super-KN,0.002641101979183369,-0.010205086372298078,0.8201247182098462,0.12243834892785728,0.12341225218981872,0.12341225218981872,0.35636890308664826,0.07151331012461655,0.3212494297045933,0.9600127069245139,0.9659518514971929,1.0
