,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.1351633366810061,0.019505063361648065,0.08641607517464846,0.01847893504806681,-0.01965491009019819,0.0011315913192408342
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.18906172126424312,0.13340202040472487,0.2208993430019776,-0.0051825189014381755,-0.04498958189501423,-0.01491695025864559
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.0779025679774951,-0.1041023167993393,-0.1041023167993393,0.17014649079179037,-0.08944521378730576,0.0778865474023543,0.8145569386271229,0.8157407362106665,0.821311073103647
predet_KN,0.060174139146230037,0.1755182025815601,-0.0779025679774951,1.0,0.8398966344670916,0.8398966344670916,0.3901793846283785,0.35046176458413614,0.3200010954903098,0.1444551352440111,0.12220485274069774,0.12007596966806684
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33042689165696465,0.3716517653793328,0.3097491549021661,0.12822000000697936,0.11530615515539569,0.11457940374682504
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33042689165696465,0.3716517653793328,0.3097491549021661,0.12822000000697936,0.11530615515539569,0.11457940374682504
phot_KN,0.1351633366810061,0.18906172126424312,0.17014649079179037,0.3901793846283785,0.33042689165696465,0.33042689165696465,1.0,0.085297813356114,0.6286437239938327,0.44905305247305366,0.24198588141864005,0.3544264437886404
phot_KN-in-SN,0.019505063361648065,0.13340202040472487,-0.08944521378730576,0.35046176458413614,0.3716517653793328,0.3716517653793328,0.085297813356114,1.0,0.548484888730449,-0.04102169166080189,0.16459223358834563,0.08430199067064244
phot_super-KN,0.08641607517464846,0.2208993430019776,0.0778865474023543,0.3200010954903098,0.3097491549021661,0.3097491549021661,0.6286437239938327,0.548484888730449,1.0,0.2350092362335878,0.23525240257363653,0.3294582903736231
KN,0.01847893504806681,-0.0051825189014381755,0.8145569386271229,0.1444551352440111,0.12822000000697936,0.12822000000697936,0.44905305247305366,-0.04102169166080189,0.2350092362335878,1.0,0.9161658962005852,0.9591338926605336
KN-in-SN,-0.01965491009019819,-0.04498958189501423,0.8157407362106665,0.12220485274069774,0.11530615515539569,0.11530615515539569,0.24198588141864005,0.16459223358834563,0.23525240257363653,0.9161658962005852,1.0,0.9664912054842473
super-KN,0.0011315913192408342,-0.01491695025864559,0.821311073103647,0.12007596966806684,0.11457940374682504,0.11457940374682504,0.3544264437886404,0.08430199067064244,0.3294582903736231,0.9591338926605336,0.9664912054842473,1.0
